model,dataset,img_id,class_id,x_center,y_center,width,height,confidence,IoU
YoloV8,daySequence1,5,0,0.5579060554504395,0.502769660949707,0.0105254173278808,0.0194456736246744,0.3053632378578186,0.8581974373661146
YoloV8,daySequence1,6,0,0.5580458641052246,0.5004717508951823,0.0108848571777343,0.0202499389648437,0.2507461011409759,0.820755338668808
YoloV8,daySequence1,29,0,0.5780440330505371,0.4615111033121745,0.0103585243225097,0.0182692209879557,0.4136300683021545,0.8839969675155619
YoloV8,daySequence1,30,0,0.5790668487548828,0.4606344223022461,0.0096595764160156,0.0170234044392903,0.2597939074039459,0.8023085755222872
YoloV8,daySequence1,31,0,0.5802565097808838,0.4610589981079102,0.0101576805114746,0.0176864624023437,0.4040800034999847,0.7747420068812358
YoloV8,daySequence1,33,0,0.1404728412628174,0.4876115163167318,0.0130784273147583,0.029229990641276,0.3093257844448089,0.0
YoloV8,daySequence1,34,0,0.1389562845230102,0.4911380449930826,0.013387656211853,0.0284351348876953,0.2561390697956085,0.0
YoloV8,daySequence1,35,0,0.1367674827575683,0.4966319402058919,0.0139150142669677,0.0283241271972656,0.4144438803195953,0.0
YoloV8,daySequence1,36,0,0.1348312139511108,0.4981019337972005,0.0132561206817626,0.0272020975748697,0.5548631548881531,0.0
YoloV8,daySequence1,37,0,0.1335357069969177,0.4978977839152018,0.0132539510726928,0.0265844980875651,0.3647793233394623,0.0
YoloV8,daySequence1,42,0,0.1278284072875976,0.4987117767333984,0.0126722812652587,0.0265237172444661,0.2512224912643432,0.0
YoloV8,daySequence1,44,0,0.1235727310180664,0.4958342234293619,0.01326904296875,0.0264569600423177,0.4996351301670074,0.0
YoloV8,daySequence1,45,0,0.1213290095329284,0.493601926167806,0.0123876094818115,0.0252277374267578,0.428415983915329,0.0
YoloV8,daySequence1,48,0,0.5969997406005859,0.4639047304789225,0.0098501205444335,0.0185337702433268,0.308560311794281,0.8410922843791937
YoloV8,daySequence1,50,0,0.5981391906738281,0.4654391288757324,0.010186767578125,0.0190722147623697,0.254532128572464,0.902490015199375
YoloV8,daySequence1,63,0,0.6009875297546386,0.4776165008544922,0.0121975898742675,0.0213311513264973,0.2949322760105133,0.7270586350621324
YoloV8,daySequence1,64,0,0.6012321949005127,0.4786239941914876,0.0118793487548828,0.0215569178263346,0.489084780216217,0.6864252485920478
YoloV8,daySequence1,70,0,0.6016952991485596,0.4741842269897461,0.0115391731262207,0.0206525166829427,0.2720796763896942,0.7376067417636089
YoloV8,daySequence1,71,0,0.601498794555664,0.4735443751017252,0.011857795715332,0.0204338709513346,0.4196867346763611,0.7254674610506823
YoloV8,daySequence1,72,0,0.6010943412780761,0.4738376935323079,0.0122999191284179,0.0211657206217447,0.4371990859508514,0.879571041498808
YoloV8,daySequence1,73,0,0.6008536338806152,0.4723400751749674,0.012093162536621,0.0204243977864583,0.3756487667560577,0.8709862158232111
YoloV8,daySequence1,82,0,0.5996428489685058,0.4685376167297363,0.0136365890502929,0.0230704625447591,0.3683021664619446,0.6984261743727854
YoloV8,daySequence1,83,0,0.5992701053619385,0.4688081741333008,0.0130725860595703,0.0220437367757161,0.4162067174911499,0.8657054889295065
YoloV8,daySequence1,84,0,0.5990615844726562,0.4686239878336588,0.0130172729492187,0.0221340179443359,0.409627765417099,0.702311969468576
YoloV8,daySequence1,85,0,0.5986844062805176,0.4696177800496419,0.0126842498779296,0.0219664255777994,0.5224810838699341,0.6308823335226764
YoloV8,daySequence1,86,0,0.5988182067871094,0.4688886642456055,0.012308120727539,0.0219107945760091,0.3402325510978699,0.7359576617335843
YoloV8,daySequence1,87,0,0.5983575820922852,0.4687566757202148,0.0113096237182617,0.0206493377685546,0.3287771940231323,0.746710941616656
YoloV8,daySequence1,88,0,0.5980921268463135,0.4689335505167643,0.0110622406005859,0.0210257212320963,0.3591937720775604,0.7874591167673082
YoloV8,daySequence1,89,0,0.5978958606719971,0.4668056805928548,0.0109142303466796,0.0197945276896158,0.3845439553260803,0.7841925721990265
YoloV8,daySequence1,90,0,0.5973635196685791,0.4689682960510254,0.0110084533691406,0.0211576461791992,0.5276191234588623,0.86728317249905
YoloV8,daySequence1,91,0,0.5968242645263672,0.4705962498982747,0.0109746932983398,0.0201451619466145,0.5367485284805298,0.7644028929856257
YoloV8,daySequence1,92,0,0.596467113494873,0.4712504069010416,0.0109308242797851,0.0202451705932617,0.5861296057701111,0.7943249334264031
YoloV8,daySequence1,93,0,0.5962538242340087,0.471450138092041,0.0112868309020996,0.020329475402832,0.5964770913124084,0.7660804120739844
YoloV8,daySequence1,94,0,0.5961346626281738,0.4715871810913086,0.0110050201416015,0.0202936808268229,0.5924376249313354,0.8606937336968198
YoloV8,daySequence1,95,0,0.595973014831543,0.471888001759847,0.0119670867919921,0.0211798985799153,0.6958946585655212,0.8469921942740624
YoloV8,daySequence1,96,0,0.5954078197479248,0.4694376627604166,0.0116013526916503,0.021322758992513,0.6713853478431702,0.7105923379439842
YoloV8,daySequence1,97,0,0.5951561450958252,0.4683780034383138,0.0117115020751953,0.021588643391927,0.6550332903862,0.7629267700854471
YoloV8,daySequence1,98,0,0.5949997425079345,0.4688440322875976,0.0111080169677734,0.0218499501546223,0.6785271167755127,0.6917598145800462
YoloV8,daySequence1,99,0,0.5949863433837891,0.4690796852111816,0.0116102218627929,0.0223583857218424,0.6935063004493713,0.7107174815018744
YoloV8,daySequence1,100,0,0.5942323684692383,0.4694769223531087,0.0112440109252929,0.0219189961751302,0.7137880325317383,0.6231417551697976
YoloV8,daySequence1,101,0,0.5938788414001465,0.4690093994140625,0.0112809181213378,0.0215688069661458,0.6990636587142944,0.61519883468808
YoloV8,daySequence1,102,0,0.5937056541442871,0.4678049087524414,0.0106813430786132,0.020875867207845,0.6276273727416992,0.5637873454410307
YoloV8,daySequence1,103,0,0.5936362266540527,0.4667591094970703,0.0113811492919921,0.0207114537556966,0.6782383322715759,0.5959936562511682
YoloV8,daySequence1,104,0,0.5930475234985352,0.464720630645752,0.0116180419921875,0.0216364542643229,0.6899661421775818,0.6355708440144783
YoloV8,daySequence1,105,0,0.5925710678100586,0.4617357889811198,0.0113965988159179,0.0210845947265625,0.7206137776374817,0.6075547933578495
YoloV8,daySequence1,106,0,0.5922940254211426,0.4574988683064778,0.01165132522583,0.0218199412027994,0.719397246837616,0.6290666762133903
YoloV8,daySequence1,107,0,0.5920863151550293,0.4548432985941569,0.0115601539611816,0.0214687347412109,0.7344694137573242,0.6275018371733588
YoloV8,daySequence1,108,0,0.591982364654541,0.4541029612223307,0.0112985610961914,0.020313008626302,0.7123580574989319,0.5802863097975693
YoloV8,daySequence1,109,0,0.5914392471313477,0.4532706260681152,0.0111960411071777,0.0203692118326822,0.6867640614509583,0.5766119550407557
YoloV8,daySequence1,110,0,0.5913740634918213,0.4538307507832845,0.0114901542663574,0.0212125778198242,0.7417852878570557,0.6162603716883444
YoloV8,daySequence1,111,0,0.5912884712219239,0.4533209482828776,0.0114402770996093,0.0211727142333984,0.7163610458374023,0.6124321950806523
YoloV8,daySequence1,112,0,0.5913841724395752,0.455025291442871,0.0116369247436523,0.0215954462687174,0.733759880065918,0.635397266734528
YoloV8,daySequence1,113,0,0.5908413410186768,0.4562642415364583,0.0112869262695312,0.0212020238240559,0.7593687176704407,0.6050592987135064
YoloV8,daySequence1,114,0,0.5901138305664062,0.4562247594197591,0.0117752075195312,0.0223005930582682,0.7226090431213379,0.6639416536676483
YoloV8,daySequence1,115,0,0.5898556709289551,0.4550637563069661,0.0118885040283203,0.0224918365478515,0.7340408563613892,0.6760784008620669
YoloV8,daySequence1,116,0,0.5898508071899414,0.4536274274190267,0.0117436408996582,0.0226258595784505,0.6838860511779785,0.6718197758367128
YoloV8,daySequence1,117,0,0.58976149559021,0.4533073425292969,0.0115430831909179,0.0213862101236979,0.6813712120056152,0.6241666910088954
YoloV8,daySequence1,118,0,0.5896142959594727,0.4525752385457356,0.0116603851318359,0.0223955790201822,0.6795191764831543,0.6602678085550873
