Filename,x_min,y_min,x_max,y_max,img_width,img_height,filetype,img_path,x_center,y_center,width,height,object_class
nightClip1--00000,709,286,730,322,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.562109375,0.31666666666666665,0.01640625,0.0375,0
nightClip1--00000,650,280,669,319,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.515234375,0.31197916666666664,0.01484375,0.040625,0
nightClip1--00000,803,332,822,371,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.634765625,0.36614583333333334,0.01484375,0.040625,0
nightClip1--00000,708,347,720,371,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.5578125,0.37395833333333334,0.009375,0.025,0
nightClip1--00000,687,347,699,371,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.54140625,0.37395833333333334,0.009375,0.025,0
nightClip1--00001,710,340,719,361,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.558203125,0.3651041666666667,0.00703125,0.021875,0
nightClip1--00001,653,276,669,309,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.51640625,0.3046875,0.0125,0.034375,0
nightClip1--00001,806,325,824,361,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.63671875,0.3572916666666667,0.0140625,0.0375,0
nightClip1--00001,713,284,729,308,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.56328125,0.30833333333333335,0.0125,0.025,0
nightClip1--00001,688,340,698,361,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.54140625,0.3651041666666667,0.0078125,0.021875,0
nightClip1--00002,807,318,825,351,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.6375,0.3484375,0.0140625,0.034375,0
nightClip1--00002,691,338,698,350,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.542578125,0.35833333333333334,0.00546875,0.0125,0
nightClip1--00002,653,269,671,296,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.5171875,0.2942708333333333,0.0140625,0.028125,0
nightClip1--00002,716,276,728,297,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.5640625,0.2984375,0.009375,0.021875,0
nightClip1--00003,653,260,671,293,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.5171875,0.28802083333333334,0.0140625,0.034375,0
nightClip1--00003,711,258,730,297,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.562890625,0.2890625,0.01484375,0.040625,0
nightClip1--00003,807,310,826,346,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.637890625,0.3416666666666667,0.01484375,0.0375,0
nightClip1--00003,692,332,699,344,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.543359375,0.35208333333333336,0.00546875,0.0125,0
nightClip1--00003,713,333,720,345,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.559765625,0.353125,0.00546875,0.0125,0
nightClip1--00004,653,262,671,292,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.5171875,0.28854166666666664,0.0140625,0.03125,0
nightClip1--00004,716,268,730,292,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.56484375,0.2916666666666667,0.0109375,0.025,0
nightClip1--00004,805,311,828,347,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.637890625,0.34270833333333334,0.01796875,0.0375,0
nightClip1--00005,709,336,721,363,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.55859375,0.3640625,0.009375,0.028125,0
nightClip1--00005,808,325,827,361,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.638671875,0.3572916666666667,0.01484375,0.0375,0
nightClip1--00005,716,283,730,304,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.56484375,0.30572916666666666,0.0109375,0.021875,0
nightClip1--00005,648,269,671,308,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.515234375,0.30052083333333335,0.01796875,0.040625,0
nightClip1--00005,687,338,699,362,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.54140625,0.3645833333333333,0.009375,0.025,0
nightClip1--00006,652,279,670,306,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.51640625,0.3046875,0.0140625,0.028125,0
nightClip1--00006,716,288,730,306,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.56484375,0.309375,0.0109375,0.01875,0
nightClip1--00006,815,333,825,363,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.640625,0.3625,0.0078125,0.03125,0
nightClip1--00006,691,350,698,362,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.542578125,0.37083333333333335,0.00546875,0.0125,0
nightClip1--00006,712,351,719,363,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.558984375,0.371875,0.00546875,0.0125,0
nightClip1--00007,652,281,668,308,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.515625,0.3067708333333333,0.0125,0.028125,0
nightClip1--00007,716,287,730,308,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.56484375,0.3098958333333333,0.0109375,0.021875,0
nightClip1--00007,814,338,826,362,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.640625,0.3645833333333333,0.009375,0.025,0
nightClip1--00008,713,351,720,363,1280,960,jpg,data/raw/lisa/nightTrain/nightTrain/nightClip1/frames/,0.559765625,0.371875,0.00546875,0.0125,0
