dataset,img_id,class_id,x_center,y_center,width,height,confidence
daySequence1,680,0,0.9703125,0.2052083333333333,0.0546875,0.1333333333333333,0.2912690341472626
daySequence1,972,0,0.586328125,0.4682291666666666,0.01171875,0.0260416666666666,0.2641717791557312
daySequence1,984,0,0.586328125,0.46875,0.01171875,0.0270833333333333,0.3172135055065155
daySequence1,991,0,0.586328125,0.4692708333333333,0.01171875,0.0260416666666666,0.2620248198509216
daySequence1,995,0,0.5859375,0.4682291666666666,0.0125,0.0260416666666666,0.2993287146091461
daySequence1,996,0,0.586328125,0.4692708333333333,0.01171875,0.0260416666666666,0.2759413719177246
daySequence1,999,0,0.586328125,0.46875,0.01171875,0.0270833333333333,0.2522839903831482
daySequence1,1004,0,0.586328125,0.46875,0.01171875,0.0270833333333333,0.2569169700145721
daySequence1,1100,0,0.58671875,0.4630208333333333,0.0109375,0.0239583333333333,0.2719033658504486
daySequence1,1110,0,0.58671875,0.4640625,0.0109375,0.0239583333333333,0.2504105269908905
daySequence1,1134,0,0.585546875,0.4625,0.01171875,0.025,0.2667097449302673
daySequence1,1136,0,0.58515625,0.4625,0.0109375,0.0229166666666666,0.2944185435771942
daySequence1,1137,0,0.58515625,0.4609375,0.0109375,0.021875,0.2937788069248199
daySequence1,1138,0,0.584375,0.4609375,0.0109375,0.021875,0.3852706551551819
daySequence1,1139,0,0.584375,0.4588541666666667,0.0109375,0.021875,0.3301890790462494
daySequence1,1140,0,0.584375,0.4604166666666666,0.0109375,0.0229166666666666,0.3101555705070495
daySequence1,1141,0,0.584375,0.4604166666666666,0.0109375,0.0229166666666666,0.4175963401794433
daySequence1,1142,0,0.583984375,0.4598958333333333,0.01015625,0.021875,0.3764504194259643
daySequence1,1144,0,0.583984375,0.459375,0.01015625,0.0208333333333333,0.3050964772701263
daySequence1,1145,0,0.583984375,0.4583333333333333,0.01015625,0.0208333333333333,0.3511857688426971
